epoch,timestamp,loss,phase
1,2025-12-27T20:02:39.502837,127.17536926269531,pretrain
2,2025-12-27T20:02:39.561844,126.59989166259766,pretrain
3,2025-12-27T20:02:39.580693,35398.4765625,pretrain
4,2025-12-27T20:02:39.604088,568.7818603515625,pretrain
5,2025-12-27T20:02:39.627075,173.7345428466797,pretrain
6,2025-12-27T20:02:39.652580,127.37090301513672,pretrain
7,2025-12-27T20:02:39.675109,126.45932006835938,pretrain
8,2025-12-27T20:02:39.699038,126.40557861328125,pretrain
9,2025-12-27T20:02:39.721826,126.27808380126953,pretrain
10,2025-12-27T20:02:39.744032,126.35905456542969,pretrain
11,2025-12-27T20:02:39.766172,126.16395568847656,pretrain
12,2025-12-27T20:02:39.788558,126.0906753540039,pretrain
13,2025-12-27T20:02:39.810295,125.9792709350586,pretrain
14,2025-12-27T20:02:39.831389,125.99009704589844,pretrain
15,2025-12-27T20:02:39.853401,125.72422790527344,pretrain
16,2025-12-27T20:02:39.878372,128.02491760253906,pretrain
17,2025-12-27T20:02:39.899983,125.61328125,pretrain
18,2025-12-27T20:02:39.923452,125.62013244628906,pretrain
19,2025-12-27T20:02:39.945134,125.53765106201172,pretrain
20,2025-12-27T20:02:39.966821,125.51736450195312,pretrain
21,2025-12-27T20:02:39.986986,125.42060089111328,pretrain
22,2025-12-27T20:02:40.010590,125.47454833984375,pretrain
23,2025-12-27T20:02:40.029402,125.22409057617188,pretrain
24,2025-12-27T20:02:40.050175,125.06951904296875,pretrain
25,2025-12-27T20:02:40.069763,125.15593719482422,pretrain
26,2025-12-27T20:02:40.088886,124.84088134765625,pretrain
27,2025-12-27T20:02:40.115385,125.28446960449219,pretrain
28,2025-12-27T20:02:40.135681,125.06430053710938,pretrain
29,2025-12-27T20:02:40.161445,124.80219268798828,pretrain
30,2025-12-27T20:02:40.185489,124.61537170410156,pretrain
31,2025-12-27T20:02:40.207556,124.48321533203125,pretrain
32,2025-12-27T20:02:40.228987,124.39717102050781,pretrain
33,2025-12-27T20:02:40.251390,124.47752380371094,pretrain
34,2025-12-27T20:02:40.272517,124.33053588867188,pretrain
35,2025-12-27T20:02:40.297476,124.06878662109375,pretrain
36,2025-12-27T20:02:40.319754,123.99685668945312,pretrain
37,2025-12-27T20:02:40.348511,123.91407012939453,pretrain
38,2025-12-27T20:02:40.372062,123.75391387939453,pretrain
39,2025-12-27T20:02:40.395577,123.67008209228516,pretrain
40,2025-12-27T20:02:40.419634,123.44738006591797,pretrain
41,2025-12-27T20:02:40.444070,123.45960235595703,pretrain
42,2025-12-27T20:02:40.465037,123.20782470703125,pretrain
43,2025-12-27T20:02:40.487541,123.03917694091797,pretrain
44,2025-12-27T20:02:40.509796,122.8731918334961,pretrain
45,2025-12-27T20:02:40.531725,122.73506927490234,pretrain
46,2025-12-27T20:02:40.554856,122.5882568359375,pretrain
47,2025-12-27T20:02:40.573966,122.38406372070312,pretrain
48,2025-12-27T20:02:40.598431,122.1992416381836,pretrain
49,2025-12-27T20:02:40.617936,122.07213592529297,pretrain
50,2025-12-27T20:02:40.641018,121.85163879394531,pretrain
51,2025-12-27T20:02:40.658274,121.6778335571289,pretrain
52,2025-12-27T20:02:40.677118,121.498046875,pretrain
53,2025-12-27T20:02:40.699869,121.36201477050781,pretrain
54,2025-12-27T20:02:40.717511,121.19038391113281,pretrain
55,2025-12-27T20:02:40.745397,120.97481536865234,pretrain
56,2025-12-27T20:02:40.770200,120.8440933227539,pretrain
57,2025-12-27T20:02:40.792072,120.70082092285156,pretrain
58,2025-12-27T20:02:40.810785,120.50852966308594,pretrain
59,2025-12-27T20:02:40.830580,120.35861206054688,pretrain
60,2025-12-27T20:02:40.852782,120.21253204345703,pretrain
61,2025-12-27T20:02:40.869519,120.0792236328125,pretrain
62,2025-12-27T20:02:40.889187,119.94265747070312,pretrain
63,2025-12-27T20:02:40.912369,119.80256652832031,pretrain
64,2025-12-27T20:02:40.932240,119.67744445800781,pretrain
65,2025-12-27T20:02:40.952638,119.52526092529297,pretrain
66,2025-12-27T20:02:40.977551,119.39027404785156,pretrain
67,2025-12-27T20:02:40.997720,119.25184631347656,pretrain
68,2025-12-27T20:02:41.020818,119.14347076416016,pretrain
69,2025-12-27T20:02:41.043557,119.022216796875,pretrain
70,2025-12-27T20:02:41.068099,118.88664245605469,pretrain
71,2025-12-27T20:02:41.090316,118.75043487548828,pretrain
72,2025-12-27T20:02:41.115829,118.63288116455078,pretrain
73,2025-12-27T20:02:41.135322,118.56104278564453,pretrain
74,2025-12-27T20:02:41.158996,118.40807342529297,pretrain
75,2025-12-27T20:02:41.179138,118.28705596923828,pretrain
76,2025-12-27T20:02:41.202356,118.16094970703125,pretrain
77,2025-12-27T20:02:41.219612,118.0494155883789,pretrain
78,2025-12-27T20:02:41.239152,117.92782592773438,pretrain
79,2025-12-27T20:02:41.261787,117.82987976074219,pretrain
80,2025-12-27T20:02:41.281091,117.71466827392578,pretrain
81,2025-12-27T20:02:41.302492,117.6217041015625,pretrain
82,2025-12-27T20:02:41.323013,117.49944305419922,pretrain
83,2025-12-27T20:02:41.346597,117.3894271850586,pretrain
84,2025-12-27T20:02:41.372947,117.29073333740234,pretrain
85,2025-12-27T20:02:41.395905,117.18905639648438,pretrain
86,2025-12-27T20:02:41.420653,117.09040832519531,pretrain
87,2025-12-27T20:02:41.441519,117.00214385986328,pretrain
88,2025-12-27T20:02:41.464292,116.86898040771484,pretrain
